index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	568	821	837	828	814	0	2226
3	821	837	828	814	564	0	3054
4	837	828	814	564	1000	0	3868
5	828	814	564	1000	879	1	4432
6	814	564	1000	879	880	0	5432
7	564	1000	879	880	856	0	6311
8	1000	879	880	856	832	0	7191
9	879	880	856	832	837	0	8047
10	880	856	832	837	840	0	8879
11	856	832	837	840	1522	0	9716
12	832	837	840	1522	887	0	10556
13	837	840	1522	887	844	0	12078
14	840	1522	887	844	817	0	12965
15	1522	887	844	817	794	0	13809
16	887	844	817	794	817	0	14626
17	844	817	794	817	810	0	15420
18	817	794	817	810	809	0	16237
19	794	817	810	809	603	0	17047
20	817	810	809	603	627	0	17856
21	810	809	603	627	871	1	18459
22	809	603	627	871	848	1	19086
23	603	627	871	848	856	0	19957
24	627	871	848	856	837	0	20805
25	871	848	856	837	825	0	21661
26	848	856	837	825	802	0	22498
27	856	837	825	802	801	0	23323
28	837	825	802	801	794	0	24125
29	825	802	801	794	809	0	24926
30	802	801	794	809	810	0	25720
31	801	794	809	810	801	0	26529
32	794	809	810	801	825	0	27339
33	809	810	801	825	821	0	28140
34	810	801	825	821	802	0	28965
35	801	825	821	802	817	0	29786
36	825	821	802	817	805	0	30588
37	821	802	817	805	599	0	31405
38	802	817	805	599	786	0	32210
39	817	805	599	786	923	1	32809
40	805	599	786	923	789	0	33595
41	599	786	923	789	779	0	34518
42	786	923	789	779	782	0	35307
43	923	789	779	782	786	0	36086
44	789	779	782	786	774	0	36868
45	779	782	786	774	778	0	37654
46	782	786	774	778	743	0	38428
47	786	774	778	743	736	0	39206
48	774	778	743	736	720	0	39949
49	778	743	736	720	716	0	40685
50	743	736	720	716	735	0	41405
51	736	720	716	735	751	0	42121
52	720	716	735	751	763	0	42856
53	716	735	751	763	782	0	43607
54	735	751	763	782	790	0	44370
55	751	763	782	790	786	0	45152
56	763	782	790	786	809	0	45942
57	782	790	786	809	821	0	46728
58	790	786	809	821	809	0	47537
59	786	809	821	809	821	0	48358
60	809	821	809	821	829	0	49167
61	821	809	821	829	817	0	49988
62	809	821	829	817	852	0	50817
63	821	829	817	852	853	0	51634
64	829	817	852	853	836	0	52486
65	817	852	853	836	856	0	53339
66	852	853	836	856	833	0	54175
67	853	836	856	833	848	0	55031
